Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/synch_escape.txt
At local time: 19:25:51,  07/05/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Synchrotron      Error           
-----------------------------------------------
0226    1.5542828e-01    1.5978788e-01    1.6439909e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0227    1.6439909e-01    1.6901030e-01    1.7388767e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0228    1.7388767e-01    1.7876503e-01    1.8392390e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0229    1.8392390e-01    1.8908277e-01    1.9453938e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0230    1.9453938e-01    1.9999601e-01    2.0576757e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0231    2.0576757e-01    2.1153912e-01    2.1764380e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0232    2.1764380e-01    2.2374848e-01    2.3020549e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0233    2.3020549e-01    2.3666249e-01    2.4349220e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0234    2.4349220e-01    2.5032189e-01    2.5754580e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0235    2.5754580e-01    2.6476967e-01    2.7241048e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0236    2.7241048e-01    2.8005129e-01    2.8813311e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0237    2.8813311e-01    2.9621494e-01    3.0476323e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0238    3.0476323e-01    3.1331149e-01    3.2235315e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0239    3.2235315e-01    3.3139482e-01    3.4095833e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0240    3.4095833e-01    3.5052186e-01    3.6063734e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0241    3.6063734e-01    3.7075284e-01    3.8145217e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0242    3.8145217e-01    3.9215147e-01    4.0346834e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0243    4.0346834e-01    4.1478518e-01    4.2675519e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0244    4.2675519e-01    4.3872520e-01    4.5138612e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0245    4.5138612e-01    4.6404701e-01    4.7743866e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0246    4.7743866e-01    4.9083030e-01    5.0499481e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0247    5.0499481e-01    5.1915944e-01    5.3414154e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0248    5.3414154e-01    5.4912359e-01    5.6497037e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0249    5.6497037e-01    5.8081728e-01    5.9757870e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0250    5.9757870e-01    6.1434013e-01    6.3206893e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0251    6.3206893e-01    6.4979786e-01    6.6854995e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0252    6.6854995e-01    6.8730199e-01    7.0713639e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0253    7.0713639e-01    7.2697091e-01    7.4795002e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0254    7.4795002e-01    7.6892924e-01    7.9111934e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0255    7.9111934e-01    8.1330931e-01    8.3678013e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0256    8.3678013e-01    8.6025095e-01    8.8507634e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0257    8.8507634e-01    9.0990180e-01    9.3616009e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0258    9.3616009e-01    9.6241832e-01    9.9019212e-01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0259    9.9019212e-01    1.0179659e+00    1.0473429e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0260    1.0473429e+00    1.0767196e+00    1.1077920e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0261    1.1077920e+00    1.1388644e+00    1.1717302e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0262    1.1717302e+00    1.2045960e+00    1.2393587e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0263    1.2393587e+00    1.2741213e+00    1.3108903e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0264    1.3108903e+00    1.3476595e+00    1.3865507e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0265    1.3865507e+00    1.4254420e+00    1.4665779e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0266    1.4665779e+00    1.5077138e+00    1.5512240e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0267    1.5512240e+00    1.5947341e+00    1.6407555e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0268    1.6407555e+00    1.6867770e+00    1.7354547e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0269    1.7354547e+00    1.7841322e+00    1.8356193e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0270    1.8356193e+00    1.8871065e+00    1.9415654e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0271    1.9415654e+00    1.9960241e+00    2.0536263e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0272    2.0536263e+00    2.1112282e+00    2.1721547e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0273    2.1721547e+00    2.2330816e+00    2.2975245e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0274    2.2975245e+00    2.3619676e+00    2.4301302e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0275    2.4301302e+00    2.4982927e+00    2.5703893e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0276    2.5703893e+00    2.6424859e+00    2.7187438e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0277    2.7187438e+00    2.7950015e+00    2.8756607e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0278    2.8756607e+00    2.9563200e+00    3.0416346e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0279    3.0416346e+00    3.1269491e+00    3.2171876e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0280    3.2171876e+00    3.3074265e+00    3.4028735e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0281    3.4028735e+00    3.4983203e+00    3.5992761e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0282    3.5992761e+00    3.7002320e+00    3.8070147e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0283    3.8070147e+00    3.9137971e+00    4.0267434e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0284    4.0267434e+00    4.1396890e+00    4.2591534e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0285    4.2591534e+00    4.3786182e+00    4.5049782e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0286    4.5049782e+00    4.6313376e+00    4.7649908e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0287    4.7649908e+00    4.8986435e+00    5.0400105e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0288    5.0400105e+00    5.1813774e+00    5.3309031e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0289    5.3309031e+00    5.4804292e+00    5.6385856e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0290    5.6385856e+00    5.7967420e+00    5.9640269e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0291    5.9640269e+00    6.1313109e+00    6.3082509e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0292    6.3082509e+00    6.4851904e+00    6.6723423e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0293    6.6723423e+00    6.8594942e+00    7.0574484e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0294    7.0574484e+00    7.2554021e+00    7.4647813e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0295    7.4647813e+00    7.6741605e+00    7.8956242e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0296    7.8956242e+00    8.1170874e+00    8.3513336e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0297    8.3513336e+00    8.5855799e+00    8.8333454e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0298    8.8333454e+00    9.0811110e+00    9.3431778e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0299    9.3431778e+00    9.6052427e+00    9.8824348e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
0300    9.8824348e+00    1.0159627e+01    1.0452817e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0301    1.0452817e+01    1.0746007e+01    1.1056119e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0302    1.1056119e+01    1.1366232e+01    1.1694242e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0303    1.1694242e+01    1.2022253e+01    1.2369197e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0304    1.2369197e+01    1.2716139e+01    1.3083105e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0305    1.3083105e+01    1.3450072e+01    1.3838220e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0306    1.3838220e+01    1.4226367e+01    1.4636917e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0307    1.4636917e+01    1.5047467e+01    1.5481712e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0308    1.5481712e+01    1.5915957e+01    1.6375265e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0309    1.6375265e+01    1.6834574e+01    1.7320395e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0310    1.7320395e+01    1.7806211e+01    1.8320070e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0311    1.8320070e+01    1.8833927e+01    1.9377443e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0312    1.9377443e+01    1.9920961e+01    2.0495846e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0313    2.0495846e+01    2.1070734e+01    2.1678801e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0314    2.1678801e+01    2.2286867e+01    2.2930031e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0315    2.2930031e+01    2.3573193e+01    2.4253477e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0316    2.4253477e+01    2.4933762e+01    2.5653309e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0317    2.5653309e+01    2.6372856e+01    2.7133932e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0318    2.7133932e+01    2.7895012e+01    2.8700016e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0319    2.8700016e+01    2.9505020e+01    3.0356487e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0320    3.0356487e+01    3.1207954e+01    3.2108566e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0321    3.2108566e+01    3.3009174e+01    3.3961765e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0322    3.3961765e+01    3.4914356e+01    3.5921928e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0323    3.5921928e+01    3.6929497e+01    3.7995224e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0324    3.7995224e+01    3.9060951e+01    4.0188187e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0325    4.0188187e+01    4.1315418e+01    4.2507717e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0326    4.2507717e+01    4.3700012e+01    4.4961121e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0327    4.4961121e+01    4.6222237e+01    4.7556133e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0328    4.7556133e+01    4.8890034e+01    5.0300915e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0329    5.0300915e+01    5.1711803e+01    5.3204124e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0330    5.3204124e+01    5.4696442e+01    5.6274891e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0331    5.6274891e+01    5.7853340e+01    5.9522896e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0332    5.9522896e+01    6.1192448e+01    6.2958363e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0333    6.2958363e+01    6.4724281e+01    6.6592110e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0334    6.6592110e+01    6.8459946e+01    7.0435593e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0335    7.0435593e+01    7.2411232e+01    7.4500908e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0336    7.4500908e+01    7.6590576e+01    7.8800858e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0337    7.8800858e+01    8.1011131e+01    8.3348984e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0338    8.3348984e+01    8.5686836e+01    8.8159615e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0339    8.8159615e+01    9.0632401e+01    9.3247894e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0340    9.3247894e+01    9.5863403e+01    9.8629868e+01    0.0000000e+00    0.0000000e+00    0.0000000e+00
0341    9.8629868e+01    1.0139632e+02    1.0432246e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0342    1.0432246e+02    1.0724860e+02    1.1034361e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0343    1.1034361e+02    1.1343864e+02    1.1671228e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0344    1.1671228e+02    1.1998594e+02    1.2344854e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0345    1.2344854e+02    1.2691114e+02    1.3057358e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0346    1.3057358e+02    1.3423604e+02    1.3810986e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0347    1.3810986e+02    1.4198369e+02    1.4608112e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0348    1.4608112e+02    1.5017853e+02    1.5451244e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0349    1.5451244e+02    1.5884636e+02    1.6343039e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0350    1.6343039e+02    1.6801445e+02    1.7286305e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0351    1.7286305e+02    1.7771169e+02    1.8284016e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0352    1.8284016e+02    1.8796863e+02    1.9339310e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0353    1.9339310e+02    1.9881757e+02    2.0455511e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0354    2.0455511e+02    2.1029268e+02    2.1636137e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0355    2.1636137e+02    2.2243007e+02    2.2884903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0356    2.2884903e+02    2.3526801e+02    2.4205746e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0357    2.4205746e+02    2.4884691e+02    2.5602823e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0358    2.5602823e+02    2.6320956e+02    2.7080533e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0359    2.7080533e+02    2.7840115e+02    2.8643533e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0360    2.8643533e+02    2.9446954e+02    3.0296747e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0361    3.0296747e+02    3.1146536e+02    3.2045377e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0362    3.2045377e+02    3.2944214e+02    3.3894928e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0363    3.3894928e+02    3.4845645e+02    3.5851236e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0364    3.5851236e+02    3.6856824e+02    3.7920453e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0365    3.7920453e+02    3.8984079e+02    4.0109097e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0366    4.0109097e+02    4.1234113e+02    4.2424063e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0367    4.2424063e+02    4.3614011e+02    4.4872641e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0368    4.4872641e+02    4.6131268e+02    4.7462543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0369    4.7462543e+02    4.8793817e+02    5.0201929e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0370    5.0201929e+02    5.1610034e+02    5.3099420e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0371    5.3099420e+02    5.4588800e+02    5.6164142e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0372    5.6164142e+02    5.7739490e+02    5.9405756e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0373    5.9405756e+02    6.1072021e+02    6.2834460e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0374    6.2834460e+02    6.4596899e+02    6.6461060e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0375    6.6461060e+02    6.8325226e+02    7.0296979e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0376    7.0296979e+02    7.2268732e+02    7.4354291e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0377    7.4354291e+02    7.6439844e+02    7.8645776e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0378    7.8645776e+02    8.0851709e+02    8.3184955e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0379    8.3184955e+02    8.5518201e+02    8.7986121e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0380    8.7986121e+02    9.0454034e+02    9.3064392e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0381    9.3064392e+02    9.5674744e+02    9.8435760e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0382    9.8435760e+02    1.0119678e+03    1.0411715e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0383    1.0411715e+03    1.0703752e+03    1.1012646e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0384    1.1012646e+03    1.1321538e+03    1.1648260e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0385    1.1648260e+03    1.1974982e+03    1.2320559e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0386    1.2320559e+03    1.2666138e+03    1.3031661e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0387    1.3031661e+03    1.3397185e+03    1.3783807e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0388    1.3783807e+03    1.4170428e+03    1.4579363e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0389    1.4579363e+03    1.4988298e+03    1.5420836e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0390    1.5420836e+03    1.5853374e+03    1.6310876e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0391    1.6310876e+03    1.6768380e+03    1.7252288e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0392    1.7252288e+03    1.7736196e+03    1.8248033e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0393    1.8248033e+03    1.8759871e+03    1.9301251e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0394    1.9301251e+03    1.9842629e+03    2.0415255e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0395    2.0415255e+03    2.0987881e+03    2.1593557e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0396    2.1593557e+03    2.2199233e+03    2.2839866e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0397    2.2839866e+03    2.3480500e+03    2.4158110e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0398    2.4158110e+03    2.4835720e+03    2.5552437e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0399    2.5552437e+03    2.6269155e+03    2.7027241e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0400    2.7027241e+03    2.7785325e+03    2.8587166e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0401    2.8587166e+03    2.9389004e+03    3.0237122e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0402    3.0237122e+03    3.1085242e+03    3.1982310e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0403    3.1982310e+03    3.2879380e+03    3.3828225e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0404    3.3828225e+03    3.4777070e+03    3.5780681e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0405    3.5780681e+03    3.6784290e+03    3.7845825e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0406    3.7845825e+03    3.8907358e+03    4.0030161e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0407    4.0030161e+03    4.1152964e+03    4.2340576e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0408    4.2340576e+03    4.3528179e+03    4.4784331e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0409    4.4784331e+03    4.6040483e+03    4.7369136e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0410    4.7369136e+03    4.8697788e+03    5.0103130e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0411    5.0103130e+03    5.1508472e+03    5.2994922e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0412    5.2994922e+03    5.4481367e+03    5.6053613e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0413    5.6053613e+03    5.7625859e+03    5.9288848e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0414    5.9288848e+03    6.0951836e+03    6.2710806e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0415    6.2710806e+03    6.4469771e+03    6.6330269e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0416    6.6330269e+03    6.8190762e+03    7.0158633e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0417    7.0158633e+03    7.2126509e+03    7.4207964e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0418    7.4207964e+03    7.6289414e+03    7.8491006e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0419    7.8491006e+03    8.0692588e+03    8.3021250e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0420    8.3021250e+03    8.5349912e+03    8.7812969e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0421    8.7812969e+03    9.0276025e+03    9.2881240e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0422    9.2881240e+03    9.5486455e+03    9.8242051e+03    0.0000000e+00    0.0000000e+00    0.0000000e+00
0423    9.8242051e+03    1.0099763e+04    1.0391225e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0424    1.0391225e+04    1.0682688e+04    1.0990973e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0425    1.0990973e+04    1.1299258e+04    1.1625336e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0426    1.1625336e+04    1.1951414e+04    1.2296312e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0427    1.2296312e+04    1.2641211e+04    1.3006017e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0428    1.3006017e+04    1.3370820e+04    1.3756681e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0429    1.3756681e+04    1.4142541e+04    1.4550671e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0430    1.4550671e+04    1.4958803e+04    1.5390488e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0431    1.5390488e+04    1.5822175e+04    1.6278777e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0432    1.6278777e+04    1.6735379e+04    1.7218336e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0433    1.7218336e+04    1.7701291e+04    1.8212121e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0434    1.8212121e+04    1.8722953e+04    1.9263266e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0435    1.9263266e+04    1.9803580e+04    2.0375078e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0436    2.0375078e+04    2.0946578e+04    2.1551062e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0437    2.1551062e+04    2.2155545e+04    2.2794918e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0438    2.2794918e+04    2.3434293e+04    2.4110568e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0439    2.4110568e+04    2.4786842e+04    2.5502150e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0440    2.5502150e+04    2.6217459e+04    2.6974053e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0441    2.6974053e+04    2.7730645e+04    2.8530904e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0442    2.8530904e+04    2.9331168e+04    3.0177617e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0443    3.0177617e+04    3.1024066e+04    3.1919369e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0444    3.1919369e+04    3.2814672e+04    3.3761652e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0445    3.3761652e+04    3.4708629e+04    3.5710266e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0446    3.5710266e+04    3.6711898e+04    3.7771348e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0447    3.7771348e+04    3.8830789e+04    3.9951383e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0448    3.9951383e+04    4.1071980e+04    4.2257246e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0449    4.2257246e+04    4.3442520e+04    4.4696195e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0450    4.4696195e+04    4.5949879e+04    4.7275918e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0451    4.7275918e+04    4.8601957e+04    5.0004527e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0452    5.0004527e+04    5.1407102e+04    5.2890625e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0453    5.2890625e+04    5.4374152e+04    5.5943301e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0454    5.5943301e+04    5.7512449e+04    5.9172164e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0455    5.9172164e+04    6.0831883e+04    6.2587391e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0456    6.2587391e+04    6.4342898e+04    6.6199727e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0457    6.6199727e+04    6.8056562e+04    7.0020562e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0458    7.0020562e+04    7.1984570e+04    7.4061922e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0459    7.4061922e+04    7.6139281e+04    7.8336531e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
0460    7.8336531e+04    8.0533789e+04    8.2857867e+04    0.0000000e+00    0.0000000e+00    0.0000000e+00
